"Gene","degree","GeneName"
"N900_RS17815",82,"long-chain fatty acid outer membrane transporter"
"N900_RS19390",82,"N900_RS19390"
"N900_RS19860",82,"N900_RS19860"
"N900_RS00040",81,"yxeO"
"N900_RS00085",81,"ibpA"
"N900_RS00885",81,"hslR"
"N900_RS01155",81,"rpmE"
"N900_RS04185",81,"N900_RS04185"
"N900_RS04655",81,"pvcA"
"N900_RS05015",81,"yfbu"
"N900_RS06815",81,"proQ"
"N900_RS07315",81,"CheA1"
"N900_RS07490",81,"glnQ"
"N900_RS08935",81,"ykgj"
"N900_RS11050",81,"trau"
"N900_RS11710",81,"rsmI"
"N900_RS14550",81,"tssK"
"N900_RS16085",81,"relE1"
"N900_RS17305",81,"lipase"
"N900_RS17415",81,"N900_RS17415"
"N900_RS19610",81,"Pseudogene_N900_RS19610"
"N900_RS20005",81,"Pseudogene_N900_RS20005"
"N900_RS00895",80,"gspD"
"N900_RS00900",80,"gspE"
"N900_RS01100",80,"cpxR"
"N900_RS01475",80,"N900_RS01475"
"N900_RS02705",80,"thrC"
"N900_RS02970",80,"peptidyl-prolyl cis-trans isomerase"
"N900_RS03800",80,"FliK"
"N900_RS03905",80,"fur"
"N900_RS04075",80,"flhF"
"N900_RS05540",80,"helicase"
"N900_RS06865",80,"uup"
"N900_RS07340",80,"cry2"
"N900_RS07380",80,"N900_RS07380"
"N900_RS07425",80,"N900_RS07425"
"N900_RS07535",80,"two-component system response regulator"
"N900_RS07840",80,"chbG"
"N900_RS08215",80,"N900_RS08215"
"N900_RS09775",80,"N900_RS09775"
"N900_RS09970",80,"acfa"
"N900_RS09980",80,"N900_RS09980"
"N900_RS10485",80,"acetoin utilization protein AcuB, putative"
"N900_RS10920",80,"dfrA1"
"N900_RS11010",80,"N900_RS11010"
"N900_RS11395",80,"truB"
"N900_RS12470",80,"N900_RS12470"
"N900_RS12480",80,"rraB"
"N900_RS12715",80,"TIGR04219 family outer membrane beta-barrel protein"
"N900_RS13425",80,"wzt"
"N900_RS13540",80,"wavA"
"N900_RS13625",80,"murQ_2"
"N900_RS15935",80,"N900_RS15935"
"N900_RS16425",80,"vxrA_BLAST"
"N900_RS17675",80,"N900_RS17675"
"N900_RS18600",80,"methyl-accepting chemotaxis protein_27"
"N900_RS19140",80,"N900_RS19140"
"N900_RS19685",80,"N900_RS19685"
"N900_RS20000",80,"Pseudogene_N900_RS20000"
"N900_RS00920",79,"gspI"
"N900_RS01425",79,"rimO"
"N900_RS02310",79,"N900_RS02310"
"N900_RS02450",79,"pdhR"
"N900_RS02810",79,"N900_RS02810"
"N900_RS03020",79,"apbE"
"N900_RS03315",79,"gmhA/lpcA"
"N900_RS03995",79,"odhB"
"N900_RS06785",79,"cvfB"
"N900_RS08495",79,"hexR"
"N900_RS08790",79,"rcsC_6"
"N900_RS10925",79,"N900_RS10925"
"N900_RS11115",79,"traL"
"N900_RS11310",79,"N900_RS11310"
"N900_RS13220",79,"dusB"
"N900_RS13460",79,"hldD"
"N900_RS13530",79,"waaC"
"N900_RS13985",79,"atpH"
"N900_RS14100",79,"hcp-2_D2"
"N900_RS14210",79,"N900_RS14210"
"N900_RS14260",79,"N900_RS14260"
"N900_RS14785",79,"ypeB_BLAST"
"N900_RS15030",79,"N900_RS15030"
"N900_RS16275",79,"tata"
"N900_RS17285",79,"glpC"
"N900_RS17735",79,"lyse_3"
"N900_RS17855",79,"norG"
"N900_RS18055",79,"TonB_2"
"N900_RS00265",78,"hemF"
"N900_RS00585",78,"HemX"
"N900_RS00620",78,"lysA"
"N900_RS00755",78,"yijd"
"N900_RS01530",78,"rlmB"
"N900_RS03735",78,"flaG"
"N900_RS05165",78,"ybgE"
"N900_RS06360",78,"N900_RS06360"
"N900_RS06475",78,"yknY_2"
"N900_RS07465",78,"yidA"
"N900_RS08325",78,"sufS_2"
"N900_RS08385",78,"trpCF"
"N900_RS08885",78,"N900_RS08885"
"N900_RS11670",78,"panB"
"N900_RS12215",78,"sprt"
"N900_RS13765",78,"vspR"
"N900_RS14005",78,"F0F1 ATP synthase subunit I"
"N900_RS14250",78,"N900_RS14250"
"N900_RS14530",78,"tssF"
"N900_RS16330",78,"bifunctional metallophosphatase/5'-nucleotidase"
"N900_RS16885",78,"N900_RS16885"
"N900_RS17365",78,"NUDIX hydrolase_2"
"N900_RS18040",78,"hutZ"
"N900_RS18235",78,"VCM66_A0911_BLAST"
"N900_RS18395",78,"FAD-binding oxidoreductase"
"N900_RS18770",78,"lrp_3"
"N900_RS19305",78,"N900_RS19305"
"N900_RS00490",77,"ubiA"
"N900_RS01275",77,"yibN"
"N900_RS01755",77,"N900_RS01755"
"N900_RS02200",77,"rsea"
"N900_RS02770",77,"deoB"
"N900_RS02840",77,"ZntB"
"N900_RS03135",77,"ribE_2"
"N900_RS04725",77,"N900_RS04725"
"N900_RS06715",77,"N900_RS06715"
"N900_RS08335",77,"trxB"
"N900_RS08945",77,"ybab"
"N900_RS09780",77,"N900_RS09780"
"N900_RS09810",77,"rpmE2"
"N900_RS10280",77,"fepC"
"N900_RS11125",77,"N900_RS11125"
"N900_RS11870",77,"N900_RS11870"
"N900_RS12085",77,"AraC family transcriptional regulator_2"
"N900_RS12295",77,"hemW"
"N900_RS12550",77,"mshC"
"N900_RS12565",77,"mshf"
"N900_RS13725",77,"N900_RS13725"
"N900_RS13785",77,"sporulation protein"
"N900_RS15780",77,"N900_RS15780"
"N900_RS15910",77,"N900_RS15910"
"N900_RS16950",77,"nitrate reductase cytochrome c-type subunit"
"N900_RS18220",77,"speG"
