"Gene","Time","Space","logFC","timeNumber","Time_idx","Space_idx"
"N900_RS01855","1h","st",2.4872,1,1,1
"N900_RS01860","1h","st",0.034884,1,1,1
"N900_RS01865","1h","st",-0.97383,1,1,1
"N900_RS01885","1h","st",-0.81718,1,1,1
"N900_RS01895","1h","st",-0.33017,1,1,1
"N900_RS01900","1h","st",3.6356,1,1,1
"N900_RS01905","1h","st",1.2721,1,1,1
"N900_RS01910","1h","st",0.797,1,1,1
"N900_RS01915","1h","st",0.30859,1,1,1
"N900_RS01920","1h","st",0.161,1,1,1
"N900_RS01925","1h","st",0.10657,1,1,1
"N900_RS01930","1h","st",0.46414,1,1,1
"N900_RS01945","1h","st",-0.36244,1,1,1
"N900_RS01950","1h","st",0.11591,1,1,1
"N900_RS01955","1h","st",-0.9223,1,1,1
"N900_RS01965","1h","st",-0.0035264,1,1,1
"N900_RS01970","1h","st",0.64737,1,1,1
"N900_RS01975","1h","st",-1.4497,1,1,1
"N900_RS01980","1h","st",2.375,1,1,1
"N900_RS01985","1h","st",-0.09383,1,1,1
"N900_RS01990","1h","st",0.030164,1,1,1
"N900_RS02000","1h","st",0.11376,1,1,1
"N900_RS02005","1h","st",5.7432,1,1,1
"N900_RS02020","1h","st",0.27146,1,1,1
"N900_RS02030","1h","st",0.0016204,1,1,1
"N900_RS02070","1h","st",3.7781,1,1,1
"N900_RS02075","1h","st",-0.21368,1,1,1
"N900_RS02080","1h","st",-0.39978,1,1,1
"N900_RS02085","1h","st",0.38248,1,1,1
"N900_RS02090","1h","st",-0.61413,1,1,1
"N900_RS02095","1h","st",1.5754,1,1,1
"N900_RS02100","1h","st",-0.66631,1,1,1
"N900_RS02105","1h","st",-0.25671,1,1,1
"N900_RS02110","1h","st",-0.2043,1,1,1
"N900_RS02115","1h","st",-0.72229,1,1,1
"N900_RS02120","1h","st",2.9718,1,1,1
"N900_RS02125","1h","st",0.12399,1,1,1
"N900_RS02130","1h","st",-0.11804,1,1,1
"N900_RS02135","1h","st",3.5505,1,1,1
"N900_RS02140","1h","st",1.0606,1,1,1
"N900_RS02145","1h","st",-0.89789,1,1,1
"N900_RS02150","1h","st",3.2006,1,1,1
"N900_RS02175","1h","st",0.66657,1,1,1
"N900_RS02180","1h","st",0.34735,1,1,1
"N900_RS02185","1h","st",1.4797,1,1,1
"N900_RS02190","1h","st",0.57403,1,1,1
"N900_RS02200","1h","st",2.1409,1,1,1
"N900_RS02205","1h","st",2.6795,1,1,1
"N900_RS02215","1h","st",-1.1184,1,1,1
"N900_RS02225","1h","st",3.727,1,1,1
"N900_RS02235","1h","st",1.7624,1,1,1
"N900_RS02250","1h","st",5.4044,1,1,1
"N900_RS02255","1h","st",3.193,1,1,1
"N900_RS02260","1h","st",2.4423,1,1,1
"N900_RS02265","1h","st",-1.9951,1,1,1
"N900_RS02270","1h","st",1.3475,1,1,1
"N900_RS02275","1h","st",-0.29177,1,1,1
"N900_RS02280","1h","st",-0.20363,1,1,1
"N900_RS02295","1h","st",-0.87257,1,1,1
"N900_RS02300","1h","st",0.094759,1,1,1
"N900_RS02305","1h","st",1.3477,1,1,1
"N900_RS02310","1h","st",-0.50797,1,1,1
"N900_RS02315","1h","st",3.94,1,1,1
"N900_RS02320","1h","st",0.81284,1,1,1
"N900_RS02325","1h","st",2.0833,1,1,1
"N900_RS02330","1h","st",3.0125,1,1,1
"N900_RS02335","1h","st",2.0744,1,1,1
"N900_RS02340","1h","st",1.3058,1,1,1
"N900_RS02345","1h","st",-0.86297,1,1,1
"N900_RS02350","1h","st",-0.13058,1,1,1
"N900_RS02355","1h","st",-0.57503,1,1,1
"N900_RS02360","1h","st",4.8381,1,1,1
"N900_RS02365","1h","st",-0.78591,1,1,1
"N900_RS02380","1h","st",0.039848,1,1,1
"N900_RS02385","1h","st",-0.62202,1,1,1
"N900_RS02395","1h","st",3.8251,1,1,1
"N900_RS02400","1h","st",-0.1222,1,1,1
"N900_RS02405","1h","st",0.30602,1,1,1
"N900_RS02410","1h","st",4.3071,1,1,1
"N900_RS02415","1h","st",0.049026,1,1,1
"N900_RS02420","1h","st",3.4345,1,1,1
"N900_RS02425","1h","st",3.4727,1,1,1
"N900_RS02430","1h","st",-0.44148,1,1,1
"N900_RS02435","1h","st",-1.2096,1,1,1
"N900_RS02440","1h","st",-0.72044,1,1,1
