"Gene","Time","Space","logFC","Cluster_DTW","Silhouette_DTW","Cluster_cosine","Silhouette_cosine","GeneName"
"N900_RS00950","1h","st",1.0171,16,0.0139752990956322,18,0.00064215860448501,"cysQ"
"N900_RS00955","1h","st",1.6019,7,-0.0238940473939564,5,-0.008066309641193,"nudE"
"N900_RS00960","1h","st",-0.59143,19,-0.0361454989725478,15,0.345095136678367,"nfua"
"N900_RS00970","1h","st",-0.75533,19,-0.00850253527710752,14,0.0698507801301778,"bioH"
"N900_RS00975","1h","st",0.98499,4,-0.0160461756953431,7,-0.0132322847477659,"N900_RS00975"
"N900_RS00980","1h","st",4.2543,4,0.0281549462434051,13,0.152919727165474,"yhgF"
"N900_RS00985","1h","st",0.11409,2,-0.018822026435585,13,0.17504907995207,"greB"
"N900_RS00990","1h","st",1.5455,2,0.0143575594929684,4,-0.0239399784407691,"ompR"
"N900_RS00995","1h","st",0.76782,9,0.00937824967259454,5,0.0870636331787568,"envZ"
"N900_RS01000","1h","st",2.9337,14,0.0191806362534777,10,0.0768627895625332,"xanP_BLAST"
"N900_RS01005","1h","st",-0.19717,9,0.0385265949744953,7,-0.00751248871128469,"recG"
"N900_RS01015","1h","st",1.8498,10,-0.0384510734306806,10,0.0502941052413762,"rpoZ"
"N900_RS01025","1h","st",0.36867,2,-0.0160877319533495,7,0.0457722169903644,"yhhQ"
"N900_RS01030","1h","st",3.1424,14,0.0611759632412935,7,-0.0314383506827716,"actP"
"N900_RS01035","1h","st",-0.59385,20,-0.039166167081689,9,-0.0422708438051293,"N900_RS01035"
"N900_RS01040","1h","st",-0.41659,14,-0.0350268943809083,9,-0.21999134063088,"nhaP2"
"N900_RS01045","1h","st",0.93802,10,0.00484596728530416,6,-0.0717340373299071,"narL"
"N900_RS01050","1h","st",0.31219,15,0.00361807410751925,8,-0.131467450403904,"dsbd"
"N900_RS01065","1h","st",0.29479,4,-0.0252309598918174,5,-0.00339796797515251,"dcuA"
"N900_RS01070","1h","st",0.10692,12,0.00304419581821274,15,0.0696701236222981,"aspA"
"N900_RS01075","1h","st",1.2958,4,0.0107857167455621,7,-0.0584331199702524,"N900_RS01075"
"N900_RS01080","1h","st",0.46757,10,-0.0586364903758267,10,-0.000754990169119507,"fxsA"
"N900_RS01085","1h","st",0.38061,2,-0.0112901118697069,4,0.013294545387673,"trmL"
"N900_RS01090","1h","st",-0.50115,9,-0.0203967518687166,9,-0.0732919650865823,"superoxide dismutase"
"N900_RS01095","1h","st",0.43166,16,0.0264119236545651,8,0.0121550495005177,"cpxA"
"N900_RS01100","1h","st",0.36245,5,0.0215858572474332,3,0.0282900877403975,"cpxR"
